osm_id,crossing_type,signals,markings,crossing_island,tactile_paving,longitude,latitude
node/26529655,uncontrolled,,,,,77.619186,12.9726314
node/249082186,uncontrolled,,zebra,,,77.6065554,12.9779781
node/249088235,uncontrolled,,zebra,,,77.5947156,12.9762574
node/249143050,,,,,,77.577576,12.9511248
node/249258666,traffic_signals,,,,,77.5799612,12.9485646
node/249843511,,,no,,,77.57431,12.9198688
node/251142704,uncontrolled,,,,,77.693692,12.9961503
node/251361756,,,,,,77.569251,13.011901
node/264339284,,no,,,,77.6604948,12.9017126
node/266175093,traffic_signals,,zebra,no,no,77.6381298,12.9124372
node/266272844,traffic_signals,no,yes,,,77.6325121,12.912407
node/287904671,traffic_signals,,zebra,,,77.602354,12.9793375
node/292566570,uncontrolled,,zebra,,,77.692634,12.9079234
node/295747252,marked,,,,,77.5616633,13.0115424
node/298775237,uncontrolled,,,,,77.6404502,12.9609125
node/308229550,uncontrolled,,zebra,no,,77.5848814,13.0991534
node/314699408,,,,,,77.5723728,12.9780808
node/343670377,uncontrolled,,,,,77.6766034,13.0004202
node/382803180,traffic_signals,,no,,,77.5732862,12.9035697
node/428836843,traffic_signals,,zebra,,,77.6002904,12.9680658
node/428845619,unmarked,,no,,,77.6009999,12.9763854
node/428851678,,,zebra,,,77.5713192,12.9801146
node/429001266,traffic_signals,,zebra,,,77.5869951,12.9653314
node/431545297,,,zebra,,,77.5567563,13.0455033
node/442437666,uncontrolled,,,,,77.6620437,13.0129635
node/459656137,traffic_signals,,no,,,77.5951069,12.9624019
node/473760710,,,zebra,no,no,77.554364,13.0121413
node/481754476,traffic_signals,,zebra,,,77.6088201,12.9773635
node/493556454,traffic_signals,,zebra,,,77.5857891,12.9169287
node/631594704,uncontrolled,,,,,77.6266853,12.9766257
node/661987274,uncontrolled,,yes,,,77.5925797,12.9751676
node/663551392,unmarked,,no,,,77.5906004,12.9764665
node/663596564,traffic_signals,,zebra,,,77.6023624,12.9791119
node/663596569,traffic_signals,yes,zebra,,,77.5975128,12.9809654
node/665062618,traffic_signals,,,,,77.5872502,12.9679969
node/699704181,uncontrolled,,,,,77.5064041,12.9311261
node/825408471,unmarked,,no,,,77.6920495,12.9196325
node/955696079,uncontrolled,,zebra,,,77.7367194,12.9876589
node/964834530,uncontrolled,,,,,77.7027916,12.9936163
node/964834534,uncontrolled,,,,,77.7028203,12.9937104
node/1019494622,,no,,,,77.7420484,12.9570743
node/1067841666,uncontrolled,,,,,77.6068055,12.9714722
node/1078399212,,,,,,77.5570809,13.0435434
node/1078399228,,,,,,77.557189,13.0436037
node/1111583837,,,,,,77.5524989,12.9857985
node/1232963667,traffic_signals,yes,zebra,,,77.6070419,12.9720704
node/1232963669,marked,yes,zebra,,,77.6072434,12.9721282
node/1232963680,traffic_signals,,zebra,,,77.601771,12.9764183
node/1268904244,,,,,,77.6946799,12.9958934
node/1290058658,uncontrolled,,,,,77.6098192,12.9927003
node/1371859116,uncontrolled,,no,,,77.7199152,12.9652161
