osm_id,lit,highway,geometry_type,geometry
way/28103475,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6120575, 12.9146201], [77.6121519, 12.915875], [77.6116387, 12.9158896], [77.6112678, 12.9159001], [77.6112335, 12.9147875], [77.6120575, 12.9146201]]]}"
way/36965410,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5818575, 12.9570666], [77.5818002, 12.9570465], [77.581709, 12.9567799], [77.5818029, 12.9567537], [77.5817438, 12.9565865], [77.5817841, 12.9565708], [77.5817465, 12.9564427], [77.5818163, 12.9564009], [77.5817975, 12.9563251], [77.5820155, 12.9562836], [77.5822474, 12.9569159], [77.5818575, 12.9570666]]]}"
way/52097460,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5998965, 12.9783012], [77.5999798, 12.9783578], [77.6000533, 12.9784268], [77.6001079, 12.9784959], [77.600167, 12.9786043], [77.6001969, 12.9786933], [77.6002132, 12.978789], [77.600215, 12.9788723], [77.600201, 12.9789774], [77.600164, 12.9790904], [77.6001198, 12.9791737], [77.6000611, 12.9792523], [77.5999917, 12.9793203], [77.5999136, 12.9793765], [77.5998241, 12.9794222], [77.5997357, 12.9794519], [77.5996292, 12.9794703], [77.5995273, 12.9794715], [77.5994299, 12.9794579], [77.5993356, 12.9794299], [77.5992426, 12.9793859], [77.599159, 12.9793288], [77.5990848, 12.9792585], [77.5990316, 12.9791906], [77.5989848, 12.979109], [77.5989493, 12.9790157], [77.5989283, 12.9789101], [77.5989253, 12.978817], [77.5989384, 12.978715], [77.5989683, 12.9786167], [77.5990117, 12.9785286], [77.5990674, 12.9784494], [77.5991398, 12.9783752], [77.5992045, 12.9783256], [77.5993165, 12.9782655], [77.5993825, 12.9782421], [77.5994862, 12.9782203], [77.5995932, 12.9782153], [77.5996897, 12.9782258], [77.5997914, 12.978253], [77.5998965, 12.9783012]]]}"
way/52434098,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5646543, 13.0179479], [77.5643603, 13.0179615], [77.564344, 13.0176277], [77.564638, 13.0176141], [77.5646543, 13.0179479]]]}"
way/82508349,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5787061, 13.0947565], [77.5787342, 13.0947848], [77.5792176, 13.0952726], [77.5786577, 13.0958303], [77.5783327, 13.0955514], [77.5778764, 13.0951615], [77.5782618, 13.0947451], [77.5783691, 13.0948523], [77.5784066, 13.0948398], [77.578454, 13.0948308], [77.5785023, 13.0948283], [77.578553, 13.0948326], [77.5786025, 13.0948441], [77.5786415, 13.0948592], [77.5787061, 13.0947565]]]}"
way/148035235,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6530322, 12.9907897], [77.652969, 12.9910028], [77.652675, 12.99092], [77.6526537, 12.9909919], [77.6525131, 12.9909523], [77.6524676, 12.9909395], [77.6524302, 12.9909289], [77.6522378, 12.9908747], [77.6520936, 12.9908341], [77.6521122, 12.9907714], [77.6516781, 12.9906492], [77.651744, 12.9904271], [77.6522823, 12.9905786], [77.6525377, 12.9906505], [77.6530322, 12.9907897]]]}"
way/169709285,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6268111, 12.9769023], [77.6266131, 12.9766183], [77.626673, 12.9765786], [77.6265668, 12.9764267], [77.6264345, 12.9765142], [77.6262812, 12.9762942], [77.6261668, 12.9763699], [77.6261235, 12.9763077], [77.6263104, 12.9761841], [77.6262972, 12.9761652], [77.6263566, 12.9761258], [77.6262918, 12.9760329], [77.6264001, 12.975961], [77.6264651, 12.976054], [77.6265249, 12.9760144], [77.6270388, 12.9767515], [77.6269797, 12.9767906], [77.6270715, 12.9769221], [77.6269631, 12.976994], [77.6268713, 12.9768624], [77.6268111, 12.9769023]]]}"
way/169717850,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6444266, 12.9856139], [77.6444459, 12.9856216], [77.6444768, 12.9856329], [77.6445101, 12.9856462], [77.6448241, 12.9857701], [77.6448816, 12.9857783], [77.6449339, 12.9857901], [77.6449849, 12.9858175], [77.6450157, 12.9858456], [77.6455213, 12.9860449], [77.645529, 12.9860764], [77.6455309, 12.9861088], [77.645527, 12.986141], [77.6455173, 12.986172], [77.6455021, 12.986201], [77.645482, 12.9862269], [77.6454574, 12.9862489], [77.6454293, 12.9862664], [77.6450951, 12.9861347], [77.6449307, 12.9860699], [77.6448736, 12.9860763], [77.6448078, 12.9860541], [77.6447649, 12.9860319], [77.644728, 12.9859899], [77.6444678, 12.985889], [77.6444753, 12.9858712], [77.6444847, 12.9858489], [77.6443423, 12.9857999], [77.6443384, 12.9857696], [77.6443401, 12.9857391], [77.6443472, 12.9857094], [77.64436, 12.9856806], [77.6443779, 12.9856546], [77.6444004, 12.9856321], [77.6444266, 12.9856139]]]}"
way/169717853,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6390529, 12.9781478], [77.6390517, 12.9782212], [77.6392735, 12.9782256], [77.6392672, 12.9784139], [77.6388099, 12.9784047], [77.6384493, 12.978397], [77.6380306, 12.9783892], [77.6380316, 12.9783413], [77.6380336, 12.9782468], [77.6380348, 12.9781906], [77.638994, 12.9782098], [77.6389944, 12.9781471], [77.6390529, 12.9781478]]]}"
way/172891300,yes,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5736317, 12.9498781], [77.5737588, 12.9498784], [77.5738537, 12.9498787], [77.5738531, 12.9501152], [77.5739669, 12.9501155], [77.5739648, 12.9509123], [77.5739645, 12.9510342], [77.5739234, 12.9510341], [77.5739232, 12.9511197], [77.5738839, 12.9511196], [77.5738446, 12.9511195], [77.5738446, 12.9511548], [77.5737698, 12.9511546], [77.5736198, 12.9511542], [77.5736203, 12.950928], [77.5735003, 12.9509278], [77.5735023, 12.9501224], [77.5735814, 12.9501226], [77.5736311, 12.9501227], [77.5736317, 12.9498781]]]}"
