osm_id,road_type,foot_access,sidewalk,lit,surface,width,geometry_type,geometry
way/57885698,pedestrian,,,,sett,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6063995, 12.9715502], [77.6068059, 12.9715095], [77.6068327, 12.9715076], [77.6069826, 12.9714629], [77.6070222, 12.9717245], [77.6070246, 12.9718075], [77.607018, 12.9718165], [77.6070108, 12.9718191], [77.6070022, 12.9718212], [77.6069293, 12.9717883], [77.6063995, 12.9715502]]]}"
way/150582717,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.6962708, 12.99716], [77.6963006, 12.997187], [77.6963511, 12.9972292], [77.696398, 12.9973008], [77.6964166, 12.997393], [77.6964007, 12.9974795], [77.6963584, 12.9975513], [77.6962915, 12.9976073], [77.6962061, 12.9976385], [77.6961022, 12.9976352], [77.6960179, 12.9975984], [77.6959479, 12.997528], [77.6959475, 12.9974279], [77.6958933, 12.9970962], [77.6959991, 12.9970846], [77.6960355, 12.9971137], [77.696076, 12.997137], [77.6961198, 12.9971538], [77.6961696, 12.9971642], [77.6962203, 12.9971663], [77.6962708, 12.99716]]]}"
way/273786648,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5906306, 12.9855212], [77.5908585, 12.9852599], [77.5908907, 12.985252], [77.5909283, 12.9852703], [77.5909578, 12.9853383], [77.5909953, 12.9853853], [77.5910436, 12.9854507], [77.5910463, 12.9855082], [77.5910302, 12.9855552], [77.5910517, 12.9855944], [77.5910704, 12.985631], [77.5910731, 12.9856755], [77.5908666, 12.9857878], [77.5904106, 12.9859995], [77.5903543, 12.9860387], [77.5903275, 12.986091], [77.5903462, 12.9861381], [77.590365, 12.986172], [77.5902953, 12.9862191], [77.5902202, 12.9862217], [77.5900405, 12.9860492], [77.5900351, 12.9860152], [77.5900539, 12.9859812], [77.5901075, 12.9859473], [77.5901612, 12.9859185], [77.5901987, 12.9859368], [77.5902416, 12.9859499], [77.5902899, 12.9859237], [77.5907217, 12.9857251], [77.5908451, 12.9856206], [77.5908988, 12.9855369], [77.5909176, 12.985503], [77.5909176, 12.9854794], [77.590888, 12.9854455], [77.5908129, 12.9853958], [77.5907808, 12.9853958], [77.5906601, 12.9855369], [77.5906306, 12.9855212]]]}"
way/335369752,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.58629, 12.9503166], [77.5862008, 12.9499767], [77.5861729, 12.94987], [77.5860761, 12.9495011], [77.5866819, 12.949356], [77.586699, 12.9494093], [77.5867982, 12.9493977], [77.5868975, 12.9494177], [77.5870121, 12.9494727], [77.5870789, 12.9495444], [77.5871097, 12.9496028], [77.5872791, 12.9495628], [77.5873184, 12.9496882], [77.5871541, 12.9497315], [77.5871422, 12.9497679], [77.5871388, 12.9498546], [77.5871131, 12.949923], [77.5870395, 12.9500181], [77.5869317, 12.9501014], [77.5868513, 12.9501581], [77.5866568, 12.950269], [77.5864755, 12.9503474], [77.586389, 12.9503749], [77.5863484, 12.9503013], [77.58629, 12.9503166]]]}"
way/335369757,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5859364, 12.95186], [77.5860203, 12.9517566], [77.5862307, 12.9515264], [77.5863163, 12.9513863], [77.5863865, 12.9512379], [77.5864207, 12.9510978], [77.5864412, 12.9509085], [77.5864472, 12.9507251], [77.5864215, 12.9505316], [77.586389, 12.9503749], [77.5864755, 12.9503474], [77.5864943, 12.9504858], [77.5865148, 12.9507043], [77.5865217, 12.9508927], [77.5865114, 12.9510928], [77.5864755, 12.9512879], [77.5864361, 12.9513713], [77.5863454, 12.9515098], [77.5860391, 12.951865], [77.5859762, 12.9519372], [77.5859364, 12.95186]]]}"
way/335369760,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5881741, 12.9493321], [77.5882092, 12.9494579], [77.5873184, 12.9496882], [77.5872791, 12.9495628], [77.5873913, 12.9495381], [77.5881741, 12.9493321]]]}"
way/335369762,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5853632, 12.9533059], [77.5854042, 12.953526], [77.585447, 12.9538212], [77.5853451, 12.9538449], [77.5851775, 12.9538839], [77.5851321, 12.9538945], [77.5850842, 12.9536244], [77.5850432, 12.9535977], [77.5850317, 12.9535149], [77.5850192, 12.9534243], [77.5851048, 12.9533542], [77.5852024, 12.9533252], [77.5852622, 12.9533075], [77.5853632, 12.9533059]]]}"
way/335371940,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5848676, 12.947896], [77.5848005, 12.9475992], [77.5847715, 12.9475596], [77.584926, 12.9475606], [77.5849232, 12.9476019], [77.5849925, 12.947871], [77.5852321, 12.9488733], [77.5853916, 12.9495646], [77.5854977, 12.9500232], [77.5855234, 12.9501366], [77.5856329, 12.9505986], [77.5858481, 12.9514899], [77.5859364, 12.95186], [77.5859762, 12.9519372], [77.5859358, 12.9519837], [77.5858645, 12.9520656], [77.5858098, 12.9521285], [77.5857276, 12.9521968], [77.5856404, 12.9523336], [77.5855805, 12.952442], [77.5855257, 12.9526271], [77.5854966, 12.9529039], [77.5855052, 12.9531391], [77.5854042, 12.953526], [77.5853632, 12.9533059], [77.5854094, 12.9532508], [77.585423, 12.9531341], [77.5854316, 12.9528406], [77.5854607, 12.9525904], [77.5854983, 12.952467], [77.5855651, 12.9523186], [77.5856626, 12.9521818], [77.5858509, 12.95196], [77.5858515, 12.9518701], [77.585417, 12.950102], [77.5854015, 12.950039], [77.5851025, 12.948839], [77.584902, 12.9480341], [77.5848676, 12.947896]]]}"
way/335409416,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5865991, 12.9479539], [77.5864402, 12.9479395], [77.5861027, 12.9478691], [77.5859993, 12.947852], [77.5858277, 12.9477627], [77.585695, 12.9476258], [77.5856131, 12.9475859], [77.5854453, 12.9475592], [77.584926, 12.9475606], [77.5847715, 12.9475596], [77.5839627, 12.947563], [77.583791, 12.9475687], [77.5835725, 12.947622], [77.5834067, 12.9476847], [77.5832233, 12.9477893], [77.5829951, 12.9479965], [77.5828937, 12.9481676], [77.5828605, 12.9482741], [77.582878, 12.9484547], [77.583038, 12.9491163], [77.583434, 12.9506905], [77.5839568, 12.9528236], [77.5840017, 12.9529453], [77.5840973, 12.9530993], [77.584269, 12.9532723], [77.5844621, 12.9533749], [77.5847157, 12.9534871], [77.5848484, 12.9534985], [77.5849537, 12.9534776], [77.5850192, 12.9534243], [77.5850317, 12.9535149], [77.5850432, 12.9535977], [77.5850083, 12.9535708], [77.584864, 12.9535708], [77.584704, 12.9535613], [77.5844367, 12.9534548], [77.58423, 12.9533274], [77.5840505, 12.9531506], [77.5839549, 12.9530118], [77.5838944, 12.9528616], [77.5833388, 12.9506443], [77.5831509, 12.9498976], [77.5829619, 12.9491467], [77.582937, 12.9490416], [77.5828059, 12.9484889], [77.5827766, 12.9482874], [77.582802, 12.9481524], [77.5829366, 12.947949], [77.5831671, 12.9477536], [77.5832526, 12.9476877], [77.5833699, 12.9476191], [77.5835299, 12.9475519], [77.5837203, 12.9475022], [77.5840403, 12.9474941], [77.5852569, 12.9474968], [77.5855466, 12.9474995], [77.5856528, 12.9475331], [77.5858377, 12.9476769], [77.5859315, 12.9477401], [77.5860308, 12.9477885], [77.5864405, 12.9478799], [77.586446, 12.9478665], [77.5865481, 12.9478745], [77.5866212, 12.9478786], [77.5867564, 12.9478826], [77.5880144, 12.9477752], [77.5880502, 12.9477571], [77.5880546, 12.9478691], [77.5880144, 12.9478584], [77.586886, 12.9479471], [77.5867081, 12.9479579], [77.5865991, 12.9479539]]]}"
way/372150308,pedestrian,,,,,,Polygon,"{""type"": ""Polygon"", ""coordinates"": [[[77.5910046, 12.9792292], [77.5908788, 12.9790957], [77.590866, 12.9790659], [77.5908639, 12.9790402], [77.5908724, 12.9789952], [77.5909073, 12.9789473], [77.5909493, 12.9789279], [77.5909784, 12.9789231], [77.591009, 12.9789244], [77.5910396, 12.9789348], [77.5910624, 12.978955], [77.5910496, 12.9789716], [77.5910868, 12.9790092], [77.5910815, 12.9790145], [77.5910776, 12.9790184], [77.591072, 12.9790239], [77.591066, 12.9790298], [77.5910814, 12.9790451], [77.5910758, 12.9790504], [77.5910679, 12.9790579], [77.591059, 12.9790664], [77.5910756, 12.979083], [77.5910644, 12.9790936], [77.5910574, 12.9791003], [77.5910508, 12.9791066], [77.5910683, 12.979124], [77.5910576, 12.9791342], [77.5910392, 12.9791518], [77.5910622, 12.9791746], [77.5910372, 12.9791985], [77.5910288, 12.9792064], [77.5910153, 12.9792194], [77.5910046, 12.9792292]]]}"
