osm_id,longitude,latitude
node/344371119,77.6291879,13.0375738
node/1107350591,77.7178554,12.9905734
node/2319910952,77.6999252,12.9510334
node/3477797066,77.6719912,12.9242307
node/3498619566,77.6870416,12.931528
node/3571031088,77.5633056,13.0292887
node/3571031089,77.5633277,13.0292881
node/3647036807,77.6361628,12.9795642
node/3647036813,77.6360723,12.9795819
node/3647036820,77.6359909,12.9795966
node/3647036826,77.6359027,12.9796118
node/3647036833,77.6357781,12.9796362
node/3647049210,77.6356906,12.9796924
node/3647052758,77.6357086,12.9797793
node/3647052765,77.6357309,12.9798811
node/3647052769,77.6357449,12.979965
node/3647052775,77.6357614,12.9800527
node/3647052780,77.635772,12.9801188
node/3652772193,77.6240987,13.0003952
node/3652772194,77.6238842,13.0003547
node/3652872506,77.6238761,13.000844
node/3652872507,77.6239244,13.0009786
node/3652872508,77.6239029,13.0009185
node/3652872509,77.6238466,13.000765
node/3652872510,77.6239378,13.0010126
node/3652872511,77.6239749,13.0011197
node/3652872512,77.6239553,13.0010699
node/3652876854,77.6239298,13.0007382
node/3652876856,77.6240434,13.0009275
node/3652876857,77.6240458,13.0009682
node/3652884430,77.6239532,13.0007336
node/3652884431,77.6241219,13.0006751
node/3652884432,77.6240438,13.0007009
node/3652884434,77.6239827,13.0008362
node/3652884435,77.6238801,13.000778
node/3652884436,77.6240194,13.0008407
node/3652884437,77.6240464,13.0008695
node/3652886135,77.6240702,13.0009497
node/3652887495,77.6241215,13.001122
node/3652887496,77.6241336,13.0011181
node/3652887497,77.6241135,13.0011011
node/3652887498,77.6240834,13.001027
node/3652887499,77.6240843,13.0009747
node/3652887500,77.6241148,13.0010551
node/3652888991,77.6242795,13.0010708
node/3652888992,77.6242027,13.0010959
node/3652888993,77.6242412,13.0010514
node/3836975529,77.6378795,12.9802683
node/3836975530,77.6375668,12.9803475
node/3836975531,77.6374561,12.9803806
node/3836981990,77.6379016,12.9799741
node/3836981993,77.6374645,12.9800726
node/3836983799,77.636906,12.9788328
node/3836983800,77.6372482,12.9788408
node/3836983801,77.6367529,12.9789319
node/3836983802,77.6369349,12.9791017
node/3836983803,77.6367858,12.9791116
node/3836983804,77.6369652,12.9792962
node/3836983805,77.6368287,12.9793012
node/3836983806,77.6368565,12.9794341
node/3836983807,77.6369879,12.979439
node/3836983808,77.6369323,12.979796
node/3836983809,77.6371067,12.9799807
node/3836983810,77.6369652,12.9800127
node/3836983940,77.6378856,12.9805079
node/3836983941,77.6378746,12.9807768
node/3836983942,77.6378681,12.9809967
node/3836983943,77.6378609,12.9812283
node/3836983945,77.6378347,12.9816701
node/3836983946,77.6378139,12.9819807
node/3836983947,77.6378073,12.982224
node/3836988200,77.6354564,12.9786375
node/3836988201,77.6356847,12.9786472
node/3836988202,77.635958,12.9786569
node/3836988203,77.6348737,12.97868
node/3836988204,77.6351728,12.9787127
node/3836988208,77.63541,12.9787214
node/3836988210,77.6354302,12.9789319
node/3836988211,77.6354681,12.9791198
node/3836988213,77.6355531,12.9795469
node/3836988214,77.6355831,12.9797401
node/3836988215,77.6356297,12.9799464
node/3836988216,77.6365107,12.9801692
node/3836988218,77.635693,12.98025
node/3836988220,77.6364268,12.9802918
