osm_id,road_type,foot_access,surface,width,lit,sidewalk,crossing_count,street_lamp_count,lit_feature_count,crossing_density,lamp_density,lit_feature_density,road_type_score,surface_score,foot_access_score,explicit_lit_score,width_score,sidewalk_known,sidewalk_positive,pedestrian_infrastructure_score,crossing_score,lighting_score,pseudo_safety_score,safety_label
way/57885698,pedestrian,,sett,,,,0,1,0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0,0,0.825,0.0,0.625,56.875,high
way/150582717,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/273786648,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/335369752,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/335369757,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/335369760,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/335369762,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/335371940,pedestrian,,,,,,0,3,0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.625,51.87500000000001,high
way/335409416,pedestrian,,,,,,0,40,0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.625,51.87500000000001,high
way/372150308,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/372150309,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/378505145,footway,,concrete,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/425050393,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/515225942,footway,,dirt,,yes,,0,0,1,0.0,0.0,1.0,0.9,0.35,0.5,1.0,0.5,0,0,0.65,0.0,0.44999999999999996,43.75,high
way/518601916,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/574103557,pedestrian,,paving_stones,,,,0,0,0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0,0,0.825,0.0,0.075,43.125,high
way/581289536,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/581289538,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/636462563,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/690851283,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/690851286,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/691137063,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/752960707,footway,,concrete,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/777638980,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/1039668744,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1039668759,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/1062372932,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1064890936,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1066870624,footway,,paving_stones,,,,1,0,0,1.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,1.0,0.075,65.875,high
way/1068852037,footway,,asphalt,,,,0,8,2,0.0,1.0,1.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.925,62.12500000000001,high
way/1093609910,pedestrian,,paving_stones,,,,0,0,0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0,0,0.825,0.0,0.075,43.125,high
way/1095561514,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1113077002,pedestrian,,,,,,0,1,0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.625,51.87500000000001,high
way/1125144622,pedestrian,,concrete,,,,0,0,0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0,0,0.825,0.0,0.075,43.125,high
way/1125877403,pedestrian,,,,,,0,0,0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0,0,0.725,0.0,0.075,38.125,medium
way/1212362584,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1218820683,footway,,,,,,0,0,1,0.0,0.0,1.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.375,43.375,high
way/1220567452,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1223497723,footway,,paving_stones,,,,0,0,0,0.0,0.0,0.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.075,40.875,medium
way/1238874788,footway,,paving_stones,,,,0,1,1,0.0,1.0,1.0,0.9,1.0,0.5,0.5,0.5,0,0,0.78,0.0,0.925,62.12500000000001,high
way/1240253042,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
way/1240447779,footway,,,,,,0,0,0,0.0,0.0,0.0,0.9,0.5,0.5,0.5,0.5,0,0,0.68,0.0,0.075,35.875,low
